pair_ID,sentence_A,sentence_B,relatedness_score,entailment_judgment
3658,There is no boy filling a pitcher with water,A boy is filling a pitcher with water,3.5,CONTRADICTION
3669,There is no man walking in the rain,A man is walking in the rain,3.5,CONTRADICTION
3689,The men are packing suitcases into the trunk of a car,The men are not packing suitcases into the trunk of a car,4.4,CONTRADICTION
3692,The men are not putting suitcases into the trunk of a car ,The men are putting suitcases into the trunk of a car,3.6,CONTRADICTION
3694,The men are not putting suitcases into the trunk of a car ,The men are packing suitcases into the trunk of a car,3.1,CONTRADICTION
3696,The men are putting suitcases into the trunk of a car,The men are not packing suitcases into the trunk of a car,4.0,CONTRADICTION
3702,A woman is putting make-up on,The woman is removing make-up,2.915,CONTRADICTION
3720,A person is peeling an onion,There is no person peeling an onion,4.0,CONTRADICTION
3725,The person is slicing onions,The person is peeling an onion,4.3,CONTRADICTION
3742,A man is putting down the guitar,A man is playing a guitar,3.9,CONTRADICTION
3751,A boy is looking at a calendar,There is no boy looking at a calendar,3.6,CONTRADICTION
3766,There is no person throwing a cat at the ceiling,A person is throwing a cat at the ceiling,3.4,CONTRADICTION
3847,A cat is playing keyboards,There is no cat playing keyboards,3.9,CONTRADICTION
3857,The man is walking along a path through the wilderness,The man is not walking along a path through the wilderness,3.8,CONTRADICTION
3886,There is no man dancing,A man is dancing,4.4,CONTRADICTION
3915,The women are not dancing outside,The women are dancing outside,3.3,CONTRADICTION
3935,A boy is checking a calendar,There is no boy checking a calendar,3.2,CONTRADICTION
3948,The men are fist fighting in a ring,Nobody is fist fighting in a ring,4.3,CONTRADICTION
3955,The boy is not riding a bike on the top of a metal fence,The boy is riding a bike on the top of a metal fence,3.5,CONTRADICTION
3973,A child is waking up,There is no child waking up,3.0,CONTRADICTION
3993,A man is singing and playing a guitar,There is no man singing and playing a guitar,4.0,CONTRADICTION
4013,The woman is picking up a baby kangaroo,The woman is not picking up a baby kangaroo,3.0,CONTRADICTION
4017,The woman is picking up the kangaroo,The kangaroo is picking up the woman,3.8,CONTRADICTION
4028,There is no man breaking wooden boards with his hand,A man is breaking wooden boards with his hand,4.5,CONTRADICTION
4037,A person is riding a jetski in the waves,There is no person riding a jetski in the waves,4.0,CONTRADICTION
4043,A woman is riding a Seadoo,There is no person riding a jetski in the waves,2.7,CONTRADICTION
4108,There is no man eating food,A man is eating some food,4.1,CONTRADICTION
4117,A cute panda is lying down,A cute panda is not lying down,3.9,CONTRADICTION
4119,The panda bear is lying on the logs,The panda bear is not lying on the logs,2.8,CONTRADICTION
4120,The log is lying on the panda bear,The panda bear is lying on the logs,3.4,CONTRADICTION
4125,The panda bear is lying on the logs,A cute panda is not lying down,3.7,CONTRADICTION
4134,There is no dog bouncing on a trampoline,A dog is jumping on a trampoline,3.7,CONTRADICTION
4137,There is no man doing back flips on a trampoline,A man is doing back flips on a trampoline,3.5,CONTRADICTION
4146,There is no woman cutting an onion,A woman is cutting an onion,3.5,CONTRADICTION
4148,A woman is cutting meat,A woman is not cutting meat,3.3,CONTRADICTION
4173,There is no woman cutting a vegetable,A woman is cutting a vegetable,3.2,CONTRADICTION
4179,A woman is slicing an eggplant,There is no woman cutting a vegetable,3.4,CONTRADICTION
4193,A man is dancing,There is no man dancing,3.7,CONTRADICTION
4195,There is no man praying,A man is praying,3.9,CONTRADICTION
4202,There is no man slicing some bread,A man is slicing some bread,3.9,CONTRADICTION
4220,A lemur is eating,There is no lemur eating,2.8,CONTRADICTION
4238,A man is playing a flute,There is no man playing a flute,4.0,CONTRADICTION
4247,There is no clown singing,A clown is singing,3.3,CONTRADICTION
4252,There is no clown singing and people are not dancing,A clown is singing,3.9,CONTRADICTION
4267,There is no man rapidly chopping some mushrooms with a knife,A man is rapidly chopping some mushrooms with a knife,3.9,CONTRADICTION
4269,A person is not quickly chopping mushrooms with a knife,A person is quickly chopping mushrooms with a knife,3.5,CONTRADICTION
4282,An old woman is shaking hands with a man,A man and a woman are not shaking hands,3.5,CONTRADICTION
4291,There is no woman chopping up an octopus,The woman is cutting cooked octopus,3.5,CONTRADICTION
4305,A woman is not riding a horse,A woman is riding a horse,4.5,CONTRADICTION
4312,A man is cutting a potato,There is no man cutting a potato,3.6,CONTRADICTION
