Index,Premise,Original Word,Best Synonym
20,Two people in snowsuits are lying in the snow and making snow angels,.,Two mass in snowsuits are lying in the snow and making snow angels 
21,Two children are lying in the snow and are making snow angels,children,child
21,Two children are lying in the snow and are making snow angels,.,Two child are lying in the snow and are making snow angels 
22,People wearing costumes are gathering in a forest and are looking in the same direction,People,people
22,People wearing costumes are gathering in a forest and are looking in the same direction,.,people wearing costumes are gathering in a forest and are looking in the same direction 
23,People are looking at some costumes gathered in the vicinity of the forest,People,people
23,People are looking at some costumes gathered in the vicinity of the forest,.,people are looking at some costumes gathered in the vicinity of the forest 
24,A little girl is looking at a woman in costume,girl,daughter
24,A little girl is looking at a woman in costume,.,A little daughter is looking at a woman in costume 
25,A little girl is looking at a woman in costume,girl,daughter
25,A little girl is looking at a woman in costume,.,A little daughter is looking at a woman in costume 
26,A young girl is looking at a woman in costume,girl,daughter
26,A young girl is looking at a woman in costume,.,A young daughter is looking at a woman in costume 
27,People wearing costumes are gathering in a forest and are looking in the same direction,People,people
27,People wearing costumes are gathering in a forest and are looking in the same direction,.,people wearing costumes are gathering in a forest and are looking in the same direction 
28,People wearing costumes are gathering in a forest and are looking in the same direction,People,people
28,People wearing costumes are gathering in a forest and are looking in the same direction,.,people wearing costumes are gathering in a forest and are looking in the same direction 
29,A man is jumping into an empty pool,man,human_being
29,A man is jumping into an empty pool,.,A human_being is jumping into an empty pool 
30,A lone biker is jumping in the air,biker,
30,A lone biker is jumping in the air,.,A lone biker is jumping in the air
31,The man's jumper is in the empty pool,jumper,pinafore
31,The man's jumper is in the empty pool,.,The man 's pinafore is in the empty pool 
32,A lone biker is jumping in the air,biker,
32,A lone biker is jumping in the air,.,A lone biker is jumping in the air
33,Four children are doing backbends in the gym,children,child
33,Four children are doing backbends in the gym,.,Four child are doing backbends in the gym 
34,Two groups of people are playing football,groups,group
34,Two groups of people are playing football,.,Two group of people are playing football 
35,Two teams are competing in a baseball game,teams,team
35,Two teams are competing in a baseball game,.,Two team are competing in a baseball game 
36,A player is running with the ball,player,musician
36,A player is running with the ball,.,A musician is running with the ball 
37,Five wooden stands are in front of each child's hut,stands,viewpoint
37,Five wooden stands are in front of each child's hut,.,Five wooden viewpoint are in front of each child 's hut 
38,Five kids are standing close together and none of the kids has a gun,kids,child
38,Five kids are standing close together and none of the kids has a gun,.,Five child are standing close together and none of the kids has a gun 
39,Five children are standing in a wooden hut,children,child
39,Five children are standing in a wooden hut,.,Five child are standing in a wooden hut 
40,Five wooden stands are in front of each child's hut,stands,viewpoint
40,Five wooden stands are in front of each child's hut,.,Five wooden viewpoint are in front of each child 's hut 
41,A man is sitting in a field,man,human_being
41,A man is sitting in a field,.,A human_being is sitting in a field 
42,A person is wearing a hat and is sitting on the grass,person,individual
42,A person is wearing a hat and is sitting on the grass,.,A individual is wearing a hat and is sitting on the grass 
43,A person is sitting and wearing a grass hat,person,individual
43,A person is sitting and wearing a grass hat,.,A individual is sitting and wearing a grass hat 
44,A person is sitting and wearing a grass hat,person,individual
44,A person is sitting and wearing a grass hat,.,A individual is sitting and wearing a grass hat 
45,A man is sitting in a field,man,human_being
45,A man is sitting in a field,.,A human_being is sitting in a field 
46,The current is being ridden by a group of friends in a raft,None,None
47,A group of friends are riding the current in a raft,group,grouping
47,A group of friends are riding the current in a raft,.,A grouping of friends are riding the current in a raft 
48,People are walking inside a building that has many murals on it,People,people
48,People are walking inside a building that has many murals on it,.,people are walking inside a building that has many murals on it 
49,People are walking outside a building that has many murals on it,People,people
49,People are walking outside a building that has many murals on it,.,people are walking outside a building that has many murals on it 
50,A family is watching a little boy who is hitting a baseball,family,category
50,A family is watching a little boy who is hitting a baseball,.,A category is watching a little boy who is hitting a baseball 
51,A child is hitting a baseball,child,kid
51,A child is hitting a baseball,.,A kid is hitting a baseball 
52,A child is missing a baseball,child,kid
52,A child is missing a baseball,.,A kid is missing a baseball 
53,A purple crowd of people is eating on various red lit restaurant tables,crowd,bunch
53,A purple crowd of people is eating on various red lit restaurant tables,.,A purple bunch of people is eating on various red lit restaurant tables 
54,A large group of Asian people is eating at a restaurant,group,grouping
54,A large group of Asian people is eating at a restaurant,.,A large grouping of Asian people is eating at a restaurant 
55,A purple crowd of people is eating on various red lit restaurant tables,crowd,bunch
55,A purple crowd of people is eating on various red lit restaurant tables,.,A purple bunch of people is eating on various red lit restaurant tables 
56,Various people are eating at red tables in a crowded restaurant with purple lights,people,mass
56,Various people are eating at red tables in a crowded restaurant with purple lights,.,Various mass are eating at red tables in a crowded restaurant with purple lights 
57,A motorcyclist without a helmet is waiting on a blue motorcycle near the road,motorcyclist,
57,A motorcyclist without a helmet is waiting on a blue motorcycle near the road,.,A motorcyclist without a helmet is waiting on a blue motorcycle near the road
58,Two dogs are playing by a tree,dogs,dog
58,Two dogs are playing by a tree,.,Two dog are playing by a tree 
59,Two dogs are playing by a tree,dogs,dog
59,Two dogs are playing by a tree,.,Two dog are playing by a tree 
60,Two dogs are playing by a tree,dogs,dog
60,Two dogs are playing by a tree,.,Two dog are playing by a tree 
61,A girl in white is dancing,girl,daughter
61,A girl in white is dancing,.,A daughter in white is dancing 
62,A girl in white is dancing,girl,daughter
62,A girl in white is dancing,.,A daughter in white is dancing 
63,A girl is wearing white clothes and is dancing,girl,daughter
63,A girl is wearing white clothes and is dancing,.,A daughter is wearing white clothes and is dancing 
64,The blond girl is dancing in front of the sound equipment,girl,daughter
64,The blond girl is dancing in front of the sound equipment,.,The blond daughter is dancing in front of the sound equipment 
65,Three Asian kids are dancing and a man is looking,kids,child
65,Three Asian kids are dancing and a man is looking,.,Three Asian child are dancing and a man is looking 
66,The children of a family are playing and waiting,children,child
66,The children of a family are playing and waiting,.,The child of a family are playing and waiting 
67,The children of a family are patiently playing and waiting,children,child
67,The children of a family are patiently playing and waiting,.,The child of a family are patiently playing and waiting 
68,There are no children playing and waiting,None,None
69,A woman is wearing an Egyptian headdress,woman,fair_sex
69,A woman is wearing an Egyptian headdress,.,A fair_sex is wearing an Egyptian headdress 
70,The black woman is wearing glasses over the headdress,woman,fair_sex
70,The black woman is wearing glasses over the headdress,.,The black fair_sex is wearing glasses over the headdress 
71,A woman is wearing an Egyptian hat on her head,woman,fair_sex
71,A woman is wearing an Egyptian hat on her head,.,A fair_sex is wearing an Egyptian hat on her head 
72,A hiker is on top of the mountain and is dancing,hiker,tramper
72,A hiker is on top of the mountain and is dancing,.,A tramper is on top of the mountain and is dancing 
73,A hiker is on top of the mountain and is dancing,hiker,tramper
73,A hiker is on top of the mountain and is dancing,.,A tramper is on top of the mountain and is dancing 
74,A man is on a rock high above some trees and is standing in a strange position,man,human_being
74,A man is on a rock high above some trees and is standing in a strange position,.,A human_being is on a rock high above some trees and is standing in a strange position 
75,There is no hiker dancing on top of the mountain,None,None
76,A cowgirl is riding a brown horse and is cornering a barrel,cowgirl,
76,A cowgirl is riding a brown horse and is cornering a barrel,.,A cowgirl is riding a brown horse and is cornering a barrel
77,A cowgirl is riding a horse and corners a barrel,cowgirl,
77,A cowgirl is riding a horse and corners a barrel,.,A cowgirl is riding a horse and corners a barrel
78,A boy is standing in the water,boy,son
78,A boy is standing in the water,.,A son is standing in the water 
79,The boy is wading through the blue ocean,boy,son
79,The boy is wading through the blue ocean,.,The son is wading through the blue ocean 
80,A man is playing a guitar on stage,man,human_being
80,A man is playing a guitar on stage,.,A human_being is playing a guitar on stage 
81,A man is playing a guitar on stage,man,human_being
81,A man is playing a guitar on stage,.,A human_being is playing a guitar on stage 
82,There is no man playing a guitar on stage,None,None
83,Several children are sitting down and have their knees raised,children,child
83,Several children are sitting down and have their knees raised,.,Several child are sitting down and have their knees raised 
84,Two girls are lying on the ground,girls,girl
84,Two girls are lying on the ground,.,Two girl are lying on the ground 
85,A nude lady is walking in front of a crowd in body paint,lady,ma'am
85,A nude lady is walking in front of a crowd in body paint,.,A nude ma'am is walking in front of a crowd in body paint 
86,A nude crowd in body paint is walking in front of a lady ,crowd,bunch
86,A nude crowd in body paint is walking in front of a lady ,.,A nude bunch in body paint is walking in front of a lady 
87,A nude lady is walking in front of a crowd in body paint,lady,ma'am
87,A nude lady is walking in front of a crowd in body paint,.,A nude ma'am is walking in front of a crowd in body paint 
88,A group of mothers in uniforms is standing near the children and one is kissing the gate,group,grouping
88,A group of mothers in uniforms is standing near the children and one is kissing the gate,.,A grouping of mothers in uniforms is standing near the children and one is kissing the gate 
89,A man is in a parking lot and is playing tennis against a large wall,man,human_being
89,A man is in a parking lot and is playing tennis against a large wall,.,A human_being is in a parking lot and is playing tennis against a large wall 
90,A man is in a parking lot and is playing tennis against a large wall,man,human_being
90,A man is in a parking lot and is playing tennis against a large wall,.,A human_being is in a parking lot and is playing tennis against a large wall 
91,A man is in a parking lot and is playing tennis against a friend,man,human_being
91,A man is in a parking lot and is playing tennis against a friend,.,A human_being is in a parking lot and is playing tennis against a friend 
92,A group of people is on a beach,group,grouping
92,A group of people is on a beach,.,A grouping of people is on a beach 
93,A group of people is on a beach,group,grouping
93,A group of people is on a beach,.,A grouping of people is on a beach 
94,A man, a woman and two girls are walking on the beach,man,human_being
94,A man, a woman and two girls are walking on the beach,.,A human_being , a woman and two girls are walking on the beach 
95,A girl with a black bag is on a crowded train,girl,daughter
95,A girl with a black bag is on a crowded train,.,A daughter with a black bag is on a crowded train 
96,An Asian woman in a crowd is not carrying a black bag,woman,fair_sex
96,An Asian woman in a crowd is not carrying a black bag,.,An Asian fair_sex in a crowd is not carrying a black bag 
97,A girl with a black bag is on a crowded train,girl,daughter
97,A girl with a black bag is on a crowded train,.,A daughter with a black bag is on a crowded train 
98,A schoolgirl with a black bag is on a crowded train,schoolgirl,
98,A schoolgirl with a black bag is on a crowded train,.,A schoolgirl with a black bag is on a crowded train
99,A dog is chasing another and is holding a piece of wood in its mouth,dog,hound
99,A dog is chasing another and is holding a piece of wood in its mouth,.,A hound is chasing another and is holding a piece of wood in its mouth 
100,Two dogs are running and carrying an object in their mouths,dogs,dog
100,Two dogs are running and carrying an object in their mouths,.,Two dog are running and carrying an object in their mouths 
101,A person who plays soccer is kicking a ball into the goal,person,individual
101,A person who plays soccer is kicking a ball into the goal,.,A individual who plays soccer is kicking a ball into the goal 
102,A soccer ball is rolling into a goal net,ball,chunk
102,A soccer ball is rolling into a goal net,.,A soccer chunk is rolling into a goal net 
103,A soccer ball is rolling into a goal net,ball,chunk
103,A soccer ball is rolling into a goal net,.,A soccer chunk is rolling into a goal net 
104,A man with tattoos is lounging on a couch and holding a pencil,man,human_being
104,A man with tattoos is lounging on a couch and holding a pencil,.,A human_being with tattoos is lounging on a couch and holding a pencil 
105,A man with tattoos is holding a couch with a pencil,man,human_being
105,A man with tattoos is holding a couch with a pencil,.,A human_being with tattoos is holding a couch with a pencil 
106,A man is sitting on a chair and rubbing his eyes,man,human_being
106,A man is sitting on a chair and rubbing his eyes,.,A human_being is sitting on a chair and rubbing his eyes 
107,A man with tattoos is holding a couch with a pencil,man,human_being
107,A man with tattoos is holding a couch with a pencil,.,A human_being with tattoos is holding a couch with a pencil 
108,A man is resting on a chair and rubbing his eyes,man,human_being
108,A man is resting on a chair and rubbing his eyes,.,A human_being is resting on a chair and rubbing his eyes 
109,A man with tattoos is lounging on a couch and holding a pencil,man,human_being
109,A man with tattoos is lounging on a couch and holding a pencil,.,A human_being with tattoos is lounging on a couch and holding a pencil 
110,A man with tattoos is lounging on a couch and holding a pencil,man,human_being
110,A man with tattoos is lounging on a couch and holding a pencil,.,A human_being with tattoos is lounging on a couch and holding a pencil 
111,A brown and white dog is running through the tall grass,dog,hound
111,A brown and white dog is running through the tall grass,.,A brown and white hound is running through the tall grass 
112,A sitting man is busy writing something in an area covered by paint,man,human_being
112,A sitting man is busy writing something in an area covered by paint,.,A sitting human_being is busy writing something in an area covered by paint 
113,A man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something,man,human_being
113,A man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something,.,A human_being is wearing clothes that are covered with paint and is sitting outside in a busy area writing something 
114,There is no man writing a note near a bike,None,None
115,A man is sitting near a bike and is writing a note,man,human_being
115,A man is sitting near a bike and is writing a note,.,A human_being is sitting near a bike and is writing a note 
116,A group of scouts are camping in the grass,group,grouping
116,A group of scouts are camping in the grass,.,A grouping of scouts are camping in the grass 
117,Some people are walking,people,mass
117,Some people are walking,.,Some mass are walking 
118,Two men are taking a break from a trip on a snowy road,men,man
118,Two men are taking a break from a trip on a snowy road,.,Two man are taking a break from a trip on a snowy road 
119,Two men with bikes are on the side of a snowy road,men,man
119,Two men with bikes are on the side of a snowy road,.,Two man with bikes are on the side of a snowy road 
120,Two men are holding fishing poles,men,man
120,Two men are holding fishing poles,.,Two man are holding fishing poles 
121,There is no man standing near the water and holding fishing poles,None,None
122,The helmeted girl is riding a bike,girl,daughter
122,The helmeted girl is riding a bike,.,The helmeted daughter is riding a bike 
123,A woman is performing a trick on a ramp with a bicycle,woman,fair_sex
123,A woman is performing a trick on a ramp with a bicycle,.,A fair_sex is performing a trick on a ramp with a bicycle 
124,A woman is performing a trick on a ramp with a bicycle,woman,fair_sex
124,A woman is performing a trick on a ramp with a bicycle,.,A fair_sex is performing a trick on a ramp with a bicycle 
125,The helmeted girl is perching on a bike,girl,daughter
125,The helmeted girl is perching on a bike,.,The helmeted daughter is perching on a bike 
126,The girl with a helmet is perching on a bike,girl,daughter
126,The girl with a helmet is perching on a bike,.,The daughter with a helmet is perching on a bike 
127,The helmeted girl is riding a bike,girl,daughter
127,The helmeted girl is riding a bike,.,The helmeted daughter is riding a bike 
128,A woman is performing a trick on a ramp with a bicycle,woman,fair_sex
128,A woman is performing a trick on a ramp with a bicycle,.,A fair_sex is performing a trick on a ramp with a bicycle 
129,A lady is surfing and riding a wave,lady,ma'am
129,A lady is surfing and riding a wave,.,A ma'am is surfing and riding a wave 
130,A woman is surfing,woman,fair_sex
130,A woman is surfing,.,A fair_sex is surfing 
131,A lady is surfing and riding a wave,lady,ma'am
131,A lady is surfing and riding a wave,.,A ma'am is surfing and riding a wave 
132,A blond girl waves while she is riding,she,
132,A blond girl waves while she is riding,.,A blond girl waves while she is riding
133,Two children and an adult are standing next to a tree limb,children,child
133,Two children and an adult are standing next to a tree limb,.,Two child and an adult are standing next to a tree limb 
134,Two children and an adult are standing next to a tree limb,children,child
134,Two children and an adult are standing next to a tree limb,.,Two child and an adult are standing next to a tree limb 
135,A man dressed in black is riding a bike,man,human_being
135,A man dressed in black is riding a bike,.,A human_being dressed in black is riding a bike 
136,There is no man dressed in black and riding a green bike,None,None
137,A laughing child is holding a water gun and getting sprayed with water,child,kid
137,A laughing child is holding a water gun and getting sprayed with water,.,A laughing kid is holding a water gun and getting sprayed with water 
138,Two daschunds are playing with a red ball,daschunds,
138,Two daschunds are playing with a red ball,.,Two daschunds are playing with a red ball
139,Two cats are playing with a red ball,cats,guy
139,Two cats are playing with a red ball,.,Two guy are playing with a red ball 
140,Two brown dogs are fighting over a red ball and are playing in the grass,dogs,dog
140,Two brown dogs are fighting over a red ball and are playing in the grass,.,Two brown dog are fighting over a red ball and are playing in the grass 
141,The black and white dog is running and a person stands behind it,dog,hound
141,The black and white dog is running and a person stands behind it,.,The black and white hound is running and a person stands behind it 
142,The black and white dog is running and a person stands behind it,dog,hound
142,The black and white dog is running and a person stands behind it,.,The black and white hound is running and a person stands behind it 
143,The black and white dog isn't running and there is no person standing behind,dog,hound
143,The black and white dog isn't running and there is no person standing behind,.,The black and white hound is n't running and there is no person standing behind 
144,A black person is running along a white stand and a dog barks behind him,person,individual
144,A black person is running along a white stand and a dog barks behind him,.,A black individual is running along a white stand and a dog barks behind him 
145,A laughing man is dyeing a shirt black on the table which you cannot sit at ,man,human_being
145,A laughing man is dyeing a shirt black on the table which you cannot sit at ,.,A laughing human_being is dyeing a shirt black on the table which you can not sit at 
146,A black shirt is being worn by a man who is sitting at the table and laughing,who,WHO
146,A black shirt is being worn by a man who is sitting at the table and laughing,.,A black shirt is being worn by a man WHO is sitting at the table and laughing 
147,A man is sitting and tables a comfortable discussion,man,human_being
147,A man is sitting and tables a comfortable discussion,.,A human_being is sitting and tables a comfortable discussion 
148,A man is sitting comfortably at a table,man,human_being
148,A man is sitting comfortably at a table,.,A human_being is sitting comfortably at a table 
149,A woman who is taking off a pink boa is stopping her bicycle on a bridge built for pedestrians,woman,fair_sex
149,A woman who is taking off a pink boa is stopping her bicycle on a bridge built for pedestrians,.,A fair_sex who is taking off a pink boa is stopping her bicycle on a bridge built for pedestrians 
150,A woman who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians,woman,fair_sex
150,A woman who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians,.,A fair_sex who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians 
151,A woman who is wearing a pink scarf is riding a bike down a bridge built for pedestrians,woman,fair_sex
151,A woman who is wearing a pink scarf is riding a bike down a bridge built for pedestrians,.,A fair_sex who is wearing a pink scarf is riding a bike down a bridge built for pedestrians 
152,A woman who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians,woman,fair_sex
152,A woman who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians,.,A fair_sex who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians 
153,A biker is wearing gear which is black,biker,
153,A biker is wearing gear which is black,.,A biker is wearing gear which is black
154,One man is wearing a black helmet and pushing a bicycle,man,human_being
154,One man is wearing a black helmet and pushing a bicycle,.,One human_being is wearing a black helmet and pushing a bicycle 
155,A woman is standing and isn't looking at the waterfall,woman,fair_sex
155,A woman is standing and isn't looking at the waterfall,.,A fair_sex is standing and is n't looking at the waterfall 
156,A woman is standing and isn't looking at the waterfall,woman,fair_sex
156,A woman is standing and isn't looking at the waterfall,.,A fair_sex is standing and is n't looking at the waterfall 
157,The man in a t-shirt dyed grey is sitting on a rock in front of a waterfall,man,human_being
157,The man in a t-shirt dyed grey is sitting on a rock in front of a waterfall,.,The human_being in a t - shirt dyed grey is sitting on a rock in front of a waterfall 
158,There is no man in a grey t-shirt sitting on a rock in front of the waterfall,None,None
159,A woman is sitting and looking at the waterfall,woman,fair_sex
159,A woman is sitting and looking at the waterfall,.,A fair_sex is sitting and looking at the waterfall 
160,A black man is running in brown grass and racing a dog,man,human_being
160,A black man is running in brown grass and racing a dog,.,A black human_being is running in brown grass and racing a dog 
161,A dark black dog and a light brown dog are playing in the yard in the back,dog,hound
161,A dark black dog and a light brown dog are playing in the yard in the back,.,A dark black hound and a light brown dog are playing in the yard in the back 
162,A dark black dog and a light brown dog are fighting in the backyard,dog,hound
162,A dark black dog and a light brown dog are fighting in the backyard,.,A dark black hound and a light brown dog are fighting in the backyard 
163,There is no dog running in the grass,None,None
164,A dark black dog and a light brown dog are playing in the backyard,dog,hound
164,A dark black dog and a light brown dog are playing in the backyard,.,A dark black hound and a light brown dog are playing in the backyard 
165,A dog that has a brown and white coat is sitting in shallow water,dog,hound
165,A dog that has a brown and white coat is sitting in shallow water,.,A hound that has a brown and white coat is sitting in shallow water 
166,A group of boys are quiet in front of a large door made of wood,group,grouping
166,A group of boys are quiet in front of a large door made of wood,.,A grouping of boys are quiet in front of a large door made of wood 
167,The children aren't playing in front of a large door,children,child
167,The children aren't playing in front of a large door,.,The child are n't playing in front of a large door 
168,The children are playing in front of a large door,children,child
168,The children are playing in front of a large door,.,The child are playing in front of a large door 
169,A black, red, white and pink dress is being worn by a woman,None,None
170,A woman is taking off a cloak, which is very large, and revealing an extravagant dress,woman,fair_sex
170,A woman is taking off a cloak, which is very large, and revealing an extravagant dress,.,A fair_sex is taking off a cloak , which is very large , and revealing an extravagant dress 
171,A teenage girl is storing away beads that are red,girl,daughter
171,A teenage girl is storing away beads that are red,.,A teenage daughter is storing away beads that are red 
172,A young lady with light brown hair is wearing a red necklace, a sweatshirt and earrings and is smiling,lady,ma'am
172,A young lady with light brown hair is wearing a red necklace, a sweatshirt and earrings and is smiling,.,A young ma'am with light brown hair is wearing a red necklace , a sweatshirt and earrings and is smiling 
173,A lady of young age, with light brown hair, is wearing a red necklace, a sweatshirt and earrings and is smiling,lady,ma'am
173,A lady of young age, with light brown hair, is wearing a red necklace, a sweatshirt and earrings and is smiling,.,A ma'am of young age , with light brown hair , is wearing a red necklace , a sweatshirt and earrings and is smiling 
174,A young lady with light brown hair is wearing a red necklace, a sweatshirt and earrings and is smiling,lady,ma'am
174,A young lady with light brown hair is wearing a red necklace, a sweatshirt and earrings and is smiling,.,A young ma'am with light brown hair is wearing a red necklace , a sweatshirt and earrings and is smiling 
175,The girl likes red and isn't wearing beads for teenagers,girl,daughter
175,The girl likes red and isn't wearing beads for teenagers,.,The daughter likes red and is n't wearing beads for teenagers 
176,A fearful little boy is on a climbing wall,boy,son
176,A fearful little boy is on a climbing wall,.,A fearful little son is on a climbing wall 
177,A boy is climbing up a wall artificially built for climbing and is attached to a rope,boy,son
177,A boy is climbing up a wall artificially built for climbing and is attached to a rope,.,A son is climbing up a wall artificially built for climbing and is attached to a rope 
178,A fearful little boy is on a climbing wall,boy,son
178,A fearful little boy is on a climbing wall,.,A fearful little son is on a climbing wall 
179,A boy is climbing up a wall artificially built for climbing and is attached to a rope,boy,son
179,A boy is climbing up a wall artificially built for climbing and is attached to a rope,.,A son is climbing up a wall artificially built for climbing and is attached to a rope 
180,A father is in the swimming pool during his daughters launch,father,Church_Father
180,A father is in the swimming pool during his daughters launch,.,A Church_Father is in the swimming pool during his daughters launch 
181,The man is tossing a kid into the swimming pool that is near the ocean,man,human_being
181,The man is tossing a kid into the swimming pool that is near the ocean,.,The human_being is tossing a kid into the swimming pool that is near the ocean 
182,One man is tossing a kid into the swimming pool that is near the ocean,man,human_being
182,One man is tossing a kid into the swimming pool that is near the ocean,.,One human_being is tossing a kid into the swimming pool that is near the ocean 
183,A kid swimming in the ocean is tossing a coin into the pool, near the man,swimming,swim
183,A kid swimming in the ocean is tossing a coin into the pool, near the man,.,A kid swim in the ocean is tossing a coin into the pool , near the man 
184,A father is in the swimming pool during his daughters launch,father,Church_Father
184,A father is in the swimming pool during his daughters launch,.,A Church_Father is in the swimming pool during his daughters launch 
185,A father is launching the daughter in a swimming pool,father,Church_Father
185,A father is launching the daughter in a swimming pool,.,A Church_Father is launching the daughter in a swimming pool 
186,A social climber is tying a man to a cliff with a rope,climber,climbing_iron
186,A social climber is tying a man to a cliff with a rope,.,A social climbing_iron is tying a man to a cliff with a rope 
187,A person is standing in front of a rock with a rope, which is pink,person,individual
187,A person is standing in front of a rock with a rope, which is pink,.,A individual is standing in front of a rock with a rope , which is pink 
188,One man is climbing a cliff with a rope,man,human_being
188,One man is climbing a cliff with a rope,.,One human_being is climbing a cliff with a rope 
189,A person is climbing a rock with a rope, which is pink,person,individual
189,A person is climbing a rock with a rope, which is pink,.,A individual is climbing a rock with a rope , which is pink 
190,A person is climbing a rock with a rope, which is pink,person,individual
190,A person is climbing a rock with a rope, which is pink,.,A individual is climbing a rock with a rope , which is pink 
191,A young child is climbing a rock climbing wall which is indoors,child,kid
191,A young child is climbing a rock climbing wall which is indoors,.,A young kid is climbing a rock climbing wall which is indoors 
192,A child is indoors watching a program about some young climbers on a rock wall.,child,kid
192,A child is indoors watching a program about some young climbers on a rock wall.,.,A kid is indoors watching a program about some young climbers on a rock wall . 
193,One young boy is climbing a wall made of rock,boy,son
193,One young boy is climbing a wall made of rock,.,One young son is climbing a wall made of rock 
194,A young climber is making a rock wall for the boys,climber,climbing_iron
194,A young climber is making a rock wall for the boys,.,A young climbing_iron is making a rock wall for the boys 
195,One man is doing a bicycle trick in midair,man,human_being
195,One man is doing a bicycle trick in midair,.,One human_being is doing a bicycle trick in midair 
196,One man is doing a bicycle trick in midair,man,human_being
196,One man is doing a bicycle trick in midair,.,One human_being is doing a bicycle trick in midair 
197,A dog, which is black, and a white one are staring at each other in the street,dog,hound
197,A dog, which is black, and a white one are staring at each other in the street,.,A hound , which is black , and a white one are staring at each other in the street 
198,A dog, which is black, and another one, which is white, are staring at each other in the street,dog,hound
198,A dog, which is black, and another one, which is white, are staring at each other in the street,.,A hound , which is black , and another one , which is white , are staring at each other in the street 
199,A dog next to a tree, which is probably a pine, is dropping a bucket,dog,hound
199,A dog next to a tree, which is probably a pine, is dropping a bucket,.,A hound next to a tree , which is probably a pine , is dropping a bucket 
200,A dog next to a tree, which is probably a pine, is biting a bucket,dog,hound
200,A dog next to a tree, which is probably a pine, is biting a bucket,.,A hound next to a tree , which is probably a pine , is biting a bucket 
201,A dog next to a tree, which is probably a pine, is biting a bucket,dog,hound
201,A dog next to a tree, which is probably a pine, is biting a bucket,.,A hound next to a tree , which is probably a pine , is biting a bucket 
202,A dog in the backyard is carrying black fur in a basket in its mouth.,dog,hound
202,A dog in the backyard is carrying black fur in a basket in its mouth.,.,A hound in the backyard is carrying black fur in a basket in its mouth . 
203,A dog which is furry and black is in a back yard and is carrying a basket in its mouth,dog,hound
