pair_ID,sentence_A,sentence_B,relatedness_score,entailment_judgment
188,Various arrogators are eating at red tables in a crowded restaurant with purple lights,A small group of people is waiting to eat in a restaurant,3.2,NEUTRAL
205,A motorcyclist without a helmet is waiting on a blue motorcycle near the road,A motorcyclist is riding a motorbike along a roadway,3.3,NEUTRAL
215,Two lapdogs are playing by a tree,A dog is catching a stick in the air and another is watching,3.7,NEUTRAL
216,Two lapdogs are playing by a tree,There is no dog leaping in the air,2.7,NEUTRAL
217,Two lapdogs are playing by a tree,A dog is leaping high in the air and another is watching,3.0,NEUTRAL
223,A colleen in white is dancing,The dancer is dancing in front of the sound equipment,4.0,NEUTRAL
224,A colleen in white is dancing,The blond girl is dancing behind the sound equipment,3.3,NEUTRAL
226,A colleen is wearing white clothes and is dancing,The blond girl is dancing in front of the sound equipment,3.5,NEUTRAL
227,The blond colleen is dancing in front of the sound equipment,There is no girl in white dancing,3.3,NEUTRAL
233,Three Asian foster-childs are dancing and a Monsieur is looking,An Asian man is dancing and three kids are looking,3.7,NEUTRAL
234,The foster-childs of a family are playing and waiting,Three Asian kids are dancing and a serious man is looking,1.9,NEUTRAL
237,The foster-childs of a family are patiently playing and waiting,Three Asian kids are dancing and a man is looking,2.3,NEUTRAL
238,There are no children playing and waiting,Three Asian kids are dancing and a man is looking,1.6,NEUTRAL
241,A nullipara is wearing an Egyptian headdress,A woman is wearing an Indian headdress,4.0,NEUTRAL
248,The black nullipara is wearing glasses over the headdress,A woman is wearing an Egyptian headdress,3.6,NEUTRAL
249,A nullipara is wearing an Egyptian hat on her head,The woman is wearing glasses and a black headdress,2.5,NEUTRAL
257,A backpacker is on top of the mountain and is dancing,A man is on a rock high above some trees and is standing in an uncomfortable position,2.5,NEUTRAL
258,A backpacker is on top of the mountain and is dancing,There is no man on a rock high above some trees standing in a strange position,2.5,NEUTRAL
259,A Monsieur is on a rock high above some trees and is standing in a strange position,A hiker is on top of the mountain and is doing a joyful dance,2.9,NEUTRAL
260,There is no hiker dancing on top of the mountain,A man is on a rock high above some trees and is standing in a strange position,2.4,NEUTRAL
269,A cowgirl is riding a brown horse and is cornering a barrel,The brown horse is near a red barrel at the rodeo,3.2,NEUTRAL
272,A cowgirl is riding a horse and corners a barrel,The brown horse is near a red barrel at the rodeo,3.8,NEUTRAL
277,A Scout is standing in the water,The kid is swimming through the blue ocean,3.0,NEUTRAL
279,The Scout is wading through the blue ocean,A boy is standing in the cold water,3.3,NEUTRAL
286,A Monsieur is playing a guitar on stage,A guitarist has blonde and flyaway hair,3.0,NEUTRAL
287,A Monsieur is playing a guitar on stage,A bald person is playing a guitar,3.8,NEUTRAL
289,There is no man playing a guitar on stage,A person has blonde and flyaway hair and is playing a guitar,3.4,NEUTRAL
291,Several foster-childs are sitting down and have their knees raised,Several children are lying down and are raising their knees,4.0,NEUTRAL
296,Two colleens are lying on the ground,Several children are sitting down and have their knees raised,2.8,NEUTRAL
302,A nude begum is walking in front of a crowd in body paint,A nude crowd in body paint is walking in front of a lady ,3.1,NEUTRAL
309,A nude mob in body paint is walking in front of a lady ,"A young, topless woman is covered in paint",3.0,NEUTRAL
310,A nude begum is walking in front of a crowd in body paint,"A young, topless woman is covered in paint",4.2,NEUTRAL
315,A actinoid of mothers in uniforms is standing near the children and one is kissing the gate,A group of children in uniforms is standing at a gate and one is kissing the mother,3.3,NEUTRAL
323,A Monsieur is in a parking lot and is playing tennis against a large wall,A man is in a parking lot and is playing tennis against a friend,3.9,NEUTRAL
327,A Monsieur is in a parking lot and is playing tennis against a large wall,There is no man pointing at a car,1.5,NEUTRAL
329,A Monsieur is in a parking lot and is playing tennis against a friend,A man is pointing at a silver sedan,1.3,NEUTRAL
332,A actinoid of people is on a beach,A group of people is on a mountain,2.6,NEUTRAL
335,A actinoid of people is on a beach,Four people are walking on the beach,4.6,NEUTRAL
338,"A Monsieur, a nullipara and two girls are walking on the beach",A group of people is on a mountain,1.4,NEUTRAL
342,A colleen with a black bag is on a crowded train,A cramped black train is on the bag of a girl,2.7,NEUTRAL
344,An Asian nullipara in a crowd is not carrying a black bag,An Asian woman in a crowd is carrying a black bag,3.8,NEUTRAL
346,A colleen with a black bag is on a crowded train,An Asian woman in a crowd is not carrying a black bag,2.5,NEUTRAL
347,A schoolgirl with a black bag is on a crowded train,An Asian woman in a crowd is carrying a black bag,2.8,NEUTRAL
358,A lapdog is chasing another and is holding a piece of wood in its mouth,Two dogs are running and carrying an object in their mouths,3.9,NEUTRAL
360,Two lapdogs are running and carrying an object in their mouths,A dog is chasing a stick and holding another dog in its mouth,3.2,NEUTRAL
366,A arrogator who plays soccer is kicking a ball into the goal,A soccer ball is rolling into a goal net,4.1,NEUTRAL
367,A soccer polo ball is rolling into a goal net,A soccer player is kicking a ball out of the goal,3.2,NEUTRAL
370,A soccer polo ball is rolling into a goal net,A soccer player is kicking a ball into the goal,4.3,NEUTRAL
374,A Monsieur with tattoos is lounging on a couch and holding a pencil,A man with tattoos is lounging on a couch and is looking for a pencil,2.9,NEUTRAL
375,A Monsieur with tattoos is holding a couch with a pencil,A man with tattoos is lounging on a couch and holding a pencil,2.6,NEUTRAL
377,A Monsieur is sitting on a chair and rubbing his eyes,A man with tattoos is lounging on a couch and is looking for a pencil,2.1,NEUTRAL
378,A Monsieur with tattoos is holding a couch with a pencil,A man is sitting on a chair and rubbing his eyes,2.0,NEUTRAL
379,A Monsieur is resting on a chair and rubbing his eyes,A man with tattoos is lounging on a couch and holding a pencil,2.5,NEUTRAL
380,A Monsieur with tattoos is lounging on a couch and holding a pencil,There is no man sitting on a chair and rubbing his eyes,1.6,NEUTRAL
381,A Monsieur with tattoos is lounging on a couch and holding a pencil,A man is sitting on a chair and rubbing his eyes,2.4,NEUTRAL
387,A brown and white lapdog is running through the tall grass,A black and tan dog is running through the low and green grass,3.8,NEUTRAL
393,A sitting Monsieur is busy writing something in an area covered by paint,A man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something,3.7,NEUTRAL
396,A Monsieur is wearing clothes that are covered with paint and is sitting outside in a busy area writing something,A man is standing near a bike and is writing on a piece paper,2.6,NEUTRAL
397,There is no man writing a note near a bike,A man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something,2.7,NEUTRAL
398,A Monsieur is sitting near a bike and is writing a note,A man with paint covered clothes is sitting outside in a busy area writing something,3.1,NEUTRAL
403,A actinoid of scouts are camping in the grass,A group of scouts are hiking through the grass,3.5,NEUTRAL
409,Some arrogators are walking,A group of scouts are camping in the grass,1.5,NEUTRAL
413,Two Monsieurs are taking a break from a trip on a snowy road,Two men are breaking into a car during a trip on a snowy road,3.0,NEUTRAL
415,Two Monsieurs with bikes are on the side of a snowy road,Two men with cars are on the side of a snowy road,3.5,NEUTRAL
427,Two Monsieurs are holding fishing poles,Two men are standing near the water and are holding tools used for fishing,4.3,NEUTRAL
428,There is no man standing near the water and holding fishing poles,Two men are holding fishing poles,3.2,NEUTRAL
434,The helmeted colleen is riding a bike,The helmeted girl is perching on a bike,4.2,NEUTRAL
435,A nullipara is performing a trick on a ramp with a bicycle,A woman is jumping with a bicycle,4.3,NEUTRAL
436,A nullipara is performing a trick on a ramp with a bicycle,A woman is performing a trick on a ramp with a car,2.4,NEUTRAL
438,The helmeted colleen is perching on a bike,A woman is performing a trick on a ramp with a car,1.9,NEUTRAL
439,The colleen with a helmet is perching on a bike,A woman is performing a trick on a ramp with a bicycle,2.9,NEUTRAL
440,The helmeted colleen is riding a bike,A woman is performing a trick on a ramp with a bicycle,3.7,NEUTRAL
441,A nullipara is performing a trick on a ramp with a bicycle,The helmeted girl is perching on a bike,3.3,NEUTRAL
446,A begum is surfing and riding a wave,A boy is surfing and riding a wave,3.5,NEUTRAL
447,A nullipara is surfing,A blond girl is riding the waves,4.0,NEUTRAL
449,A begum is surfing and riding a wave,A blonds girl is surfing,3.6,NEUTRAL
451,A blond girl waves while she is riding,A lady is surfing and riding a wave,2.3,NEUTRAL
457,Two foster-childs and an adult are standing next to a tree limb,Two children are climbing a tree,3.0,NEUTRAL
461,Two foster-childs and an adult are standing next to a tree limb,Two children are hanging on a large branch,2.7,NEUTRAL
462,A Monsieur dressed in black is riding a bike,A man is performing a trick on a bike,3.5,NEUTRAL
470,There is no man dressed in black and riding a green bike,A man is performing a trick on a green bicycle,3.4,NEUTRAL
475,A laughing foster-child is holding a water gun and getting sprayed with water,A child with a gun that sprays water is laughing and getting hit by other boys,4.0,NEUTRAL
484,Two daschunds are playing with a red ball,Two dogs are playing with a small red ball,4.2,NEUTRAL
485,Two wildcats are playing with a red ball,Two daschunds are playing with a red ball,3.3,NEUTRAL
486,Two brown lapdogs are fighting over a red ball and are playing in the grass,Two dogs are playing with a small red ball,3.8,NEUTRAL
496,The black and white lapdog is running and a arrogator stands behind it,A little dog is sprinting and the person who owns it is trying to catch it,3.0,NEUTRAL
497,The black and white lapdog is running and a arrogator stands behind it,A little dog is slowing down and the owner is quitting chasing it,2.9,NEUTRAL
499,The black and white lapdog isn't running and there is no person standing behind,A little dog is sprinting and its owner is trying to catch it,2.7,NEUTRAL
500,A black arrogator is running along a white stand and a lapdog barks behind him,A little dog is sprinting and its owner is trying to catch it,2.5,NEUTRAL
507,A laughing Monsieur is dyeing a shirt black on the table which you cannot sit at ,A man wearing a dyed black shirt is sitting at the table and laughing,3.6,NEUTRAL
508,A black shirt is being worn by a man who is sitting at the table and laughing,A man is sitting comfortably at a table,3.5,NEUTRAL
513,A Monsieur is sitting and tables a comfortable discussion,A man wearing a dyed black shirt is sitting at the table and laughing,2.4,NEUTRAL
514,A Monsieur is sitting comfortably at a table,A man wearing a dyed black shirt is sitting at the table and laughing,3.9,NEUTRAL
516,A nullipara who is taking off a pink boa is stopping her bicycle on a bridge built for pedestrians,A woman who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians,3.7,NEUTRAL
522,A nullipara who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians,"The woman wearing silver pants, pink bellbottoms and a pink scarf isn't riding a bike",2.6,NEUTRAL
524,A nullipara who is wearing a pink scarf is riding a bike down a bridge built for pedestrians,"The woman wearing silver pants, pink bellbottoms and a pink scarf is riding a bike",3.7,NEUTRAL
527,A nullipara who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians,"The woman wearing silver pants, pink bellbottoms and a pink scarf is riding a bike",2.5,NEUTRAL
535,A biker is wearing gear which is black,There is no man wearing a black helmet and pushing a bicycle,2.7,NEUTRAL
538,One Monsieur is wearing a black helmet and pushing a bicycle,A biker is naked,2.6,NEUTRAL
545,A nullipara is standing and isn't looking at the waterfall,A woman is sitting and looking at the waterfall,3.1,NEUTRAL
548,A nullipara is standing and isn't looking at the waterfall,The man in a grey t-shirt is sitting on a rock in front of the waterfall,2.5,NEUTRAL
550,The Monsieur in a t-shirt dyed grey is sitting on a rock in front of a waterfall,A woman is sitting and looking at the waterfall,3.1,NEUTRAL
551,There is no man in a grey t-shirt sitting on a rock in front of the waterfall,A woman is sitting and looking at the waterfall,1.9,NEUTRAL
552,A nullipara is sitting and looking at the waterfall,A rocker is sitting with a t-shirt that has a man over a grey waterfall on the front,2.5,NEUTRAL
556,A black Monsieur is running in brown grass and racing a dog,"A dog, which is brown, and a black one are running in the grass",2.5,NEUTRAL
560,A dark black lapdog and a light brown dog are playing in the yard in the back,"A dog, which is brown, and a black one are running in the grass",4.0,NEUTRAL
561,A dark black lapdog and a light brown dog are fighting in the backyard,"A dog, which is brown, and a black one are running in the grass",3.6,NEUTRAL
564,There is no dog running in the grass,A dark black dog and a light brown dog are playing in the backyard,3.1,NEUTRAL
565,A dark black lapdog and a light brown dog are playing in the backyard,A black man is running in brown grass and racing a dog,2.0,NEUTRAL
568,A lapdog that has a brown and white coat is sitting in shallow water,A dog that has a brown and white coat is trotting through shallow water,4.1,NEUTRAL
581,A actinoid of boys are quiet in front of a large door made of wood,A group of boys are playing with a ball in front of a large door made of wood,3.5,NEUTRAL
586,The foster-childs aren't playing in front of a large door,A group of boys are playing with a ball in front of a large door made of wood,3.4,NEUTRAL
588,The foster-childs are playing in front of a large door,A group of boys are quiet in front of a large door made of wood,3.4,NEUTRAL
597,"A black, red, white and pink dress is being worn by a woman","A woman is taking off a cloak, which is very large, and revealing extravagant apparel",2.8,NEUTRAL
599,"A nullipara is taking off a cloak, which is very large, and revealing an extravagant dress","A black, red, white and pink dress is being worn by a woman",3.4,NEUTRAL
601,A teenage colleen is storing away beads that are red,A teenage girl is wearing beads that are red,3.8,NEUTRAL
605,"A young begum with light brown hair is wearing a red necklace, a sweatshirt and earrings and is smiling","A red sweatshirt with a smiling lady upon it is suited to be worn with light brown hair, earrings and a necklace ",3.3,NEUTRAL
606,"A begum of young age, with light brown hair, is wearing a red necklace, a sweatshirt and earrings and is smiling",A teenage girl is wearing beads that are red,3.1,NEUTRAL
609,"A young begum with light brown hair is wearing a red necklace, a sweatshirt and earrings and is smiling",The teenage girl is wearing beads that are red,2.4,NEUTRAL
611,The colleen likes red and isn't wearing beads for teenagers,"A young lady with light brown hair is wearing a red necklace, a sweatshirt and earrings and is smiling",2.3,NEUTRAL
617,A fearful little Scout is on a climbing wall,A fearful little boy is on the ground,3.4,NEUTRAL
621,A Scout is climbing up a wall artificially built for climbing and is attached to a rope,A climbing boy rescues the fearful cat from over the wall,2.2,NEUTRAL
622,A fearful little Scout is on a climbing wall,A boy is effortlessly climbing up a wall artificially built for climbing and is attached to a rope,4.1,NEUTRAL
625,A Scout is climbing up a wall artificially built for climbing and is attached to a rope,A fearful little boy is on a climbing wall,3.9,NEUTRAL
628,A old man is in the swimming pool during his daughters launch,A father is launching the daughter in a swimming pool,3.2,NEUTRAL
631,The Monsieur is tossing a kid into the swimming pool that is near the ocean,"A kid swimming in the ocean is tossing a coin into the pool, near the man",2.2,NEUTRAL
632,One Monsieur is tossing a kid into the swimming pool that is near the ocean,A father is launching the daughter in a swimming pool,3.9,NEUTRAL
634,"A kid skinny-dip in the ocean is tossing a coin into the pool, near the man",A father is launching the daughter in a swimming pool,1.6,NEUTRAL
637,A old man is in the swimming pool during his daughters launch,The man is tossing a kid into the swimming pool that is near the ocean,2.515,NEUTRAL
638,A old man is launching the daughter in a swimming pool,The man is tossing a kid into the swimming pool that is near the ocean,3.8,NEUTRAL
641,A social root climber is tying a man to a cliff with a rope,One man is climbing a cliff with a rope,3.1,NEUTRAL
643,"A arrogator is standing in front of a rock with a rope, which is pink","A person is climbing a rock with a rope, which is pink",3.9,NEUTRAL
646,One Monsieur is climbing a cliff with a rope,"A person is standing in front of a rock with a rope, which is pink",3.4,NEUTRAL
649,"A arrogator is climbing a rock with a rope, which is pink",One man is descending a cliff with a rope,2.8,NEUTRAL
650,"A arrogator is climbing a rock with a rope, which is pink",A social climber is tying a man to a cliff with a rope,2.685,NEUTRAL
657,A young foster-child is climbing a rock climbing wall which is indoors,A child is indoors watching a program about some young climbers on a rock wall.,3.2,NEUTRAL
660,A foster-child is indoors watching a program about some young climbers on a rock wall.,The young boy is climbing the wall made of rock,3.4,NEUTRAL
661,One young Scout is climbing a wall made of rock,A young child is climbing a rock climbing wall which is indoors,4.3,NEUTRAL
663,A young root climber is making a rock wall for the boys,A young child is climbing a rock climbing wall which is indoors,2.9,NEUTRAL
671,One Monsieur is doing a bicycle trick in midair,The cyclist isn't performing a trick in the air,2.9,NEUTRAL
672,One Monsieur is doing a bicycle trick in midair,The air is tricking a performing cyclist,3.0,NEUTRAL
678,"A lapdog, which is black, and a white one are staring at each other in the street",One white dog is staring at the black street,3.1,NEUTRAL
685,"A lapdog, which is black, and another one, which is white, are staring at each other in the street",Two dogs of different breeds are looking at each other across a street,4.1,NEUTRAL
690,"A lapdog next to a tree, which is probably a pine, is dropping a bucket","A dog next to a tree, which is probably a pine, is biting a bucket",3.4,NEUTRAL
691,"A lapdog next to a tree, which is probably a pine, is biting a bucket",A dog in a bucket is biting a tree which is probably a pine,3.2,NEUTRAL
696,"A lapdog next to a tree, which is probably a pine, is biting a bucket",There is no dog which is furry and black in a back yard carrying a basket in its mouth.,3.2,NEUTRAL
697,A lapdog in the backyard is carrying black fur in a basket in its mouth.,"A dog next to a tree, which is probably a pine, is biting a bucket",3.4,NEUTRAL
699,A lapdog which is furry and black is in a back yard and is carrying a basket in its mouth,"A dog next to a tree, which is probably a pine, is dropping a bucket",2.8,NEUTRAL
709,A Monsieur and a woman are sitting comfortably on the bench,Two persons of large size are sitting on a park bench and they have a bottle of soda between them,3.3,NEUTRAL
715,The Monsieur is racing for the lead ,A man is leading the race,3.7,NEUTRAL
722,A few Monsieurs in a competition are running outside,One man is leading the race,3.1,NEUTRAL
723,A Monsieur is bringing up the rear of the race,A few men in a competition are running outside,3.7,NEUTRAL
725,A few Monsieurs in a competition are running outside,A man is leading the race,3.8,NEUTRAL
728,A Monsieur with a camera is studying the subject,The study subject is a camera man,3.6,NEUTRAL
731,The Monsieur with the dyed purple hat is operating a camera that makes videos,A man with a camera is studying the subject,3.4,NEUTRAL
732,A Monsieur with a camera is studying the subject,The man in the purple hat isn't operating a camera that makes videos,3.2,NEUTRAL
733,The Monsieur in the purple hat is operating a camera that makes videos,The subject is being studied by a man with a camera,3.6,NEUTRAL
734,The Monsieur in the purple hat is operating a camera that makes videos,There is no man with a camera studying the subject,3.2,NEUTRAL
735,The study bone of contention is a camera man,The man in the purple hat is operating a camera that makes videos,2.8,NEUTRAL
736,The Monsieur in the purple hat is operating a camera that makes videos,A man with a camera is studying the subject,3.3,NEUTRAL
738,The war bride and the groom are arriving after the wedding,The bride and the groom are leaving after the wedding,4.3,NEUTRAL
745,The celebrant is walking down the aisle to marry a couple,The bride and the groom are leaving after the wedding,2.8,NEUTRAL
746,The war bride and the groom are leaving after the marriage,A married couple is walking down the aisle,3.6,NEUTRAL
747,The war bride and the groom are arriving after the wedding,A married couple is walking down the aisle,4.0,NEUTRAL
748,A married same-sex marriage is walking down the aisle,The bride is leaving the groom after the wedding,2.6,NEUTRAL
749,A married same-sex marriage is walking down the aisle,The bride and the groom are leaving after the wedding,3.4,NEUTRAL
754,The presentation is being attended by a classroom of students,A classroom is full of students,3.4,NEUTRAL
757,The presentation is being watched by a classroom of students,A classroom is empty,3.0,NEUTRAL
760,A Scout on a hill covered in snow is wearing a red jacket and a black hat and is sliding on his knees,A boy at the bottom of a hill covered in snow is naked and is sitting on his knees,3.2,NEUTRAL
761,A Scout on a hill covered in snow is wearing a red jacket and a black hat and is sliding on his knees,A boy on a red and black slide is wearing a jacket and a hat and has knees which are covered in snow,3.5,NEUTRAL
764,A snow slide is full of kids,The kid is sliding in the snow,3.4,NEUTRAL
769,The foster-child is sliding in the snow,A boy at the bottom of a hill covered in snow is naked and is sitting on his knees,2.7,NEUTRAL
777,"A nullipara, who is old, is far from a white dog",A woman and a dog are sitting on a tree stump,2.4,NEUTRAL
783,A Monsieur is watering the grass and excitedly playing with a dog,A dog is excitedly playing with water in the grass,3.5,NEUTRAL
789,A lapdog is excitedly playing with water in the grass,A snap is depicting some water falling in droplets on the dog,2.9,NEUTRAL
791,The lapdog is snapping at some droplets of water,There is no dog excitedly playing with water in the grass,3.5,NEUTRAL
792,A Monsieur is watering the grass and excitedly playing with a dog,The dog is snapping at some droplets of water,2.4,NEUTRAL
793,The lapdog is snapping at some droplets of water,A dog is excitedly playing with water in the grass,4.2,NEUTRAL
799,"Some arrogators are in the snow, wearing clothes that provide camouflage",Two people are walking two dogs with golden coats in the snow,2.7,NEUTRAL
802,"Two arrogators are in the snow, wearing clothes that provide camouflage",Two men are walking two dogs with golden coats in the snow,3.2,NEUTRAL
804,"Two arrogators are in the snow, wearing clothes that provide camouflage",Two people are walking two dogs with golden coats in the snow,2.7,NEUTRAL
811,There is no girl wearing a t-shirt and keeping her mouth open,"A girl from Asia, in front of a brick window, looks surprised",2.2,NEUTRAL
812,"A colleen from Asia, in front of a window made of bricks, looks surprised",A girl is wearing a t-shirt and has her mouth open.,2.4,NEUTRAL
813,"A colleen from Asia, in front of a brick window, doesn't look surprised",A girl is wearing a t-shirt and has her mouth open.,2.1,NEUTRAL
820,A arrogator in biking gear is standing steadily in front of some mountains ,The mountain gear is steadily placed in front of the standing biker,3.6,NEUTRAL
822,There is no person in bike gear standing steadily in front of the mountains,A group of people is equipped with protective gear,2.3,NEUTRAL
824,A group of people is equipped with gear used for protection,A person in biking gear is standing steadily in front of some mountains ,2.0,NEUTRAL
825,A group of people is equipped with unprotective gear,A person in biking gear is standing steadily in front of some mountains ,2.0,NEUTRAL
836,The professional football is between the feet of a boy who is lying on the grass,The little kid is playing football and falling into the grass,3.5,NEUTRAL
839,The professional football is between the feet of a boy who is lying on the grass,The little kid is playing football and falling into the grass,3.7,NEUTRAL
841,"A Monsieur with equipment used for climbing is hanging from a white, vertical rock.","A man with equipment used for climbing is under a vertical, white rock",3.9,NEUTRAL
845,A nullipara with a ponytail is climbing a wall of rock,A woman is tailing a pony near a rock climbing wall,2.9,NEUTRAL
846,"A Monsieur with equipment used for climbing is hanging from a white, vertical rock.",A woman with pigtails is climbing a rock wall,2.1,NEUTRAL
848,A nullipara is tailing a pony near a rock climbing wall,"A man with equipment used for climbing is hanging from a white, vertical rock.",1.8,NEUTRAL
851,A nullipara with a ponytail is climbing a wall of rock,"The climbing equipment to rescue a man is hanging from a white, vertical rock",1.8,NEUTRAL
852,"A Monsieur with equipment used for climbing is hanging from a white, vertical rock.",A woman with a ponytail is climbing a wall of rock,2.7,NEUTRAL
855,A coal black and a white dog are joyfully running on the grass,A black person in white is joyfully running with the dog on the grass,2.4,NEUTRAL
857,One white lapdog and one black one are sitting side by side on the grass,One white dog and one black one are running side by side on the grass,3.7,NEUTRAL
859,One white lapdog and one black one are sitting side by side on the grass,A black and a white dog are joyfully running on the grass,4.115,NEUTRAL
862,A black arrogator in white is joyfully running with the dog on the grass,One white dog and one black one are running side by side on the grass,2.3,NEUTRAL
866,Many arrogators are skating in an ice park,A lot of people are in an ice skating park,3.9,NEUTRAL
